@relation 'bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,10-12,14-17,20-56,58-weka.filters.unsupervised.attribute.RenameNominalValues-R10-N\'(-inf-0.980205]\':low, \'(0.980205-1.960411]\':medium, \'(1.960411-inf)\':high-I'

@attribute lon_dd numeric
@attribute ntl numeric
@attribute ptl numeric
@attribute snow_yrmean numeric
@attribute lst_yrmean numeric
@attribute tmean numeric
@attribute tmean_yrmean numeric
@attribute agkffactws numeric
@attribute depth numeric
@attribute logchl_A {low,medium,high}

@data
0.872376,0.603603,0.524501,0.354943,-0.29815,-0.493151,0.134418,0,0.465106,medium
0.423807,0.732973,0.544842,0.783563,-0.450403,-0.555098,-1.278985,0.018377,0.341904,medium
0.303002,0.306777,0.118111,0.960613,-3.340501,-1.572256,-2.656957,0,0.898611,low
0.575879,0.557062,0.505545,0,0.869174,0.646336,1.149876,0.615382,0.501649,medium
0.043678,0.529115,0.31482,0.572075,-0.371075,-0.651771,0.075859,0,0.641647,medium
0.443967,0.712094,0.417468,0.749852,-0.463161,-0.302956,-0.786928,0.087152,0.428139,low
0.147857,0.612266,0.688631,0.271276,0.954537,0.962862,0.104582,0.001591,0.435597,medium
0.038422,0.425554,0.303094,0.085835,-0.124542,-0.591921,0.261951,0.192504,0.729542,medium
0.750347,0.441448,0.372571,0.017152,0.453189,0.321378,0.694303,0.063895,0.696734,medium
0.260833,0.411376,0.230959,0.902764,-1.817824,-2.340359,-1.963221,0,0.622859,low
0.647776,0.639218,0.573417,0.58377,0.036162,0.249733,0.13624,0.315546,0.525049,high
0.630008,0.50615,0.161482,0.723565,-0.681186,0.076624,-0.29237,0.34507,0.764092,low
0.890688,0.259981,0,0.561639,-0.899454,-0.225073,-0.288694,0,0.671066,low
0.93873,0.344371,0,0.711714,-1.480712,-0.56601,-0.916439,0.001492,0.857081,low
0.459183,0.570036,0.508073,0.338771,0.867911,0.470268,0.715984,0.000383,0.424261,medium
0.216463,0.443403,0.404168,0.749625,0.080944,-0.323002,-0.707319,0.013154,0.539976,medium
0.688704,0.490279,0.089347,0.555913,-0.29815,0.067107,-0.049872,0.347302,0.536385,low
0.503309,0.483989,0.241277,0.714348,-1.190881,0.227813,-0.956702,0.088671,0.700898,low
0.757396,0.444688,0.161482,0.556235,-0.276277,0.337793,0.020989,0.366042,0.705514,low
0.617966,0.58788,0.500337,0.427201,0.407276,0.601603,0.551811,0.73151,0.654299,medium
0.912422,0.380067,0.207458,0.816926,-1.710843,-0.753021,-1.207602,0.153563,0.708883,low
0.617149,0.494416,0.141612,0.676517,-0.545487,0.114491,-0.413346,0,0.746776,low
0.319203,0.418896,0.335489,0.771863,-0.154204,-1.531749,-0.855454,0.028428,0.807434,low
0.492169,0.579601,0.652572,0.584432,0.871217,0.106272,0.457049,0.281657,0.758677,low
0.397421,0.443726,0.602331,0.586883,0.608281,0.634178,-0.16693,0,0.348668,medium
0.440697,0.753601,0.712492,0.777331,-0.85427,-0.48539,-1.123595,0.605873,0.462108,high
0.266877,0.513216,0.296805,0.497452,0.22974,0.053321,0.056569,0,0.574534,low
0.268003,0.595417,0.470573,0.730166,0.277893,-0.870794,-0.775526,0.021428,0.435597,high
0.174708,0.318461,0.141612,0.855335,-1.26394,-0.186333,-1.093373,0,0.885877,low
0.23587,0.650218,0.376103,0,1.660994,0.870533,1.089386,0,0.66519,medium
0.270581,0.478261,0.431805,0.755674,-0.165891,-0.020517,-0.077297,0,0.595342,low
0.898379,0.358538,0.118111,0.51237,-0.572045,-0.064952,-0.141016,0.004431,0.768946,low
0.091748,0.288532,0.089347,0.832506,-0.585433,-4.283612,-1.663903,0,0.848416,low
0.673795,0.532324,0.365203,0.5589,-0.025821,0.252277,0.149196,0.616749,0.635344,medium
0.508113,0.578095,0.575659,0.315862,0.548994,0.454725,0.51811,0.768582,0.411966,medium
0.852267,0.559221,0.46545,0.235508,0.394401,0.769804,0.621588,0.704053,0.403151,high
0.611008,0.427438,0.178694,0.809245,-1.731878,-0.561155,-1.26163,0.001129,0.745055,low
0.439528,0.550195,0.458287,0.055277,1.356757,1.412917,1.12663,0.339642,0.697936,medium
0.670834,0.444368,0.275856,0.442567,0.12046,0.347396,0.400148,0.115085,0.623858,low
0.832205,0.39609,0.241277,0.59106,-0.480274,-0.367628,-0.306068,0.23678,0.675322,low
0.964713,0.451796,0.275856,0.692337,-1.11068,-0.418951,-0.724593,0.068042,0.755087,low
0.469218,0.49049,0.309091,0.190365,1.007504,1.057779,1.043165,0.075959,0.64937,low
0.80113,0.515752,0.36894,0,0.589376,1.107515,0.731452,0.18423,0.528927,medium
0.635674,0.607948,0.522278,0.689761,-0.238944,0.224226,-0.064887,0.23157,0.638979,medium
0.581296,0.514913,0.275856,0.721244,-1.320154,-1.579814,-1.024771,0.000099,0.645988,low
0.72981,0.56932,0.353296,0.011618,1.416638,1.529061,1.677566,0.018265,0.528927,medium
0.914702,0.407413,0.259722,0.627679,-0.90453,-0.191933,-0.365437,0.015089,0.435597,low
0.532853,0.863804,0.822948,0.737596,-0.506157,0.414644,-0.416831,0.359063,0.341904,high
0.51854,0.546214,0.442644,0.557838,0.740104,0.607884,0.758183,0.475197,0.539976,medium
0.228125,0.447835,0.365203,0.80509,-0.312166,-0.999627,-1.411273,0,0.642526,medium
0.670853,0.534741,0.193877,0.621006,-0.519195,-0.790782,-0.215257,0.038406,0.512754,low
0.158865,0.649429,0.434047,0,1.890356,2.226967,1.762591,0.006187,0.484522,medium
0.49795,0.562218,0.296805,0.709432,-0.817216,0.428856,-0.715459,0.199266,0.714329,low
0.695577,0.522558,0.429524,0.555268,0.149062,0.780705,0.199935,0.615442,0.609201,medium
0.59509,0.54391,0.598665,0.021319,1.007504,0.739091,1.078859,0.737856,0.449456,medium
0.898175,0.372326,0.161482,0.696797,-1.20609,-0.33864,-0.646253,0,0.762949,low
0.410568,0.74258,0.599899,0.127681,0.762513,0.003872,-0.038555,0.448955,0.424261,medium
0.44841,0.526114,0.442644,0.208919,1.137522,1.468498,1.039024,0.114015,0.546901,medium
0.096791,0.489007,0.161482,0.86856,-1.018745,-3.041874,-0.8913,0,0.871195,low
0.560836,0.551289,0.456432,0.708611,-0.904524,0.14514,-0.626959,0.333758,0.654299,medium
0.520367,0.567247,0.505545,0.490255,0.551852,0.52044,0.64646,0.259793,0.435597,medium
0.856293,0.424023,0.207458,0.604064,-0.503986,-0.25619,-0.27444,0.003467,0.468044,low
0.767104,0.546846,0.472236,0.50724,-0.043818,-0.095824,0.142725,0.327161,0.539976,medium
0.537597,0.517412,0.275856,0.785368,-1.655583,-0.772024,-1.422927,0,0.60011,low
0.713338,0.230649,0,0,-0.102267,-0.143921,0.438424,0.001638,0.885053,low
0.060192,0.272917,0.089347,0.9197,-2.648612,-1.336178,-1.244575,0,0.435597,low
0.444933,0.635574,0.697565,0.771422,-0.681186,-0.402642,-0.983738,0.555046,0.428139,medium
0.636815,0.586484,0.497651,0.110028,0.420082,0.541742,0.560142,0.851132,0.611387,medium
0.072976,0.211072,0.089347,0.856333,-0.29815,-2.025962,-0.197954,0,0.755087,low
0.649797,0.405149,0,0,0.726828,1.509835,1.023357,0.119575,0.900704,low
0.44213,0.595336,0.534053,0.295001,1.008097,0.595162,0.895448,0.364629,0.473747,medium
0.693296,0.457055,0.259722,0,0.949665,1.072874,1.197505,0.1581,0.525049,low
0.586288,0.619389,0.567241,0.052929,0.616634,0.619179,1.032224,0.029531,0.532704,medium
