@relation 'bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,9-19,21-37,39,41-49,51-59'

@attribute lon_dd numeric
@attribute ntl numeric
@attribute ptl numeric
@attribute atmo_pdep_2002 numeric
@attribute p_livestock_demand_2007 numeric
@attribute p_livestock_production_2007 numeric
@attribute pctwdwet2011ws numeric
@attribute logchl_A {'\'(-inf-0.980205]\'','\'(0.980205-1.960411]\'','\'(1.960411-inf)\''}

@data
0.59509,0.54391,0.598665,0.369139,-0.126775,-0.22065,0.387014,'\'(0.980205-1.960411]\''
0.898175,0.372326,0.161482,0.112375,-0.966664,-0.850623,0.042632,'\'(-inf-0.980205]\''
0.410568,0.74258,0.599899,-1.48129,1.203281,1.231594,0.127946,'\'(0.980205-1.960411]\''
0.44841,0.526114,0.442644,-0.223405,0.077438,-0.058053,0.002218,'\'(0.980205-1.960411]\''
0.096791,0.489007,0.161482,-1.254486,-0.966664,-0.850623,0,'\'(-inf-0.980205]\''
0.560836,0.551289,0.456432,-0.017649,0.898989,0.716722,0.299922,'\'(0.980205-1.960411]\''
0.520367,0.567247,0.505545,0.377133,0.404726,0.267427,0.014212,'\'(0.980205-1.960411]\''
0.856293,0.424023,0.207458,0.233998,-0.966664,-0.850623,0.646573,'\'(-inf-0.980205]\''
0.767104,0.546846,0.472236,0.864399,0.668105,0.556772,0,'\'(0.980205-1.960411]\''
0.537597,0.517412,0.275856,-0.486015,-0.966664,-0.850623,0.519314,'\'(-inf-0.980205]\''
0.713338,0.230649,0,0.986533,-0.957087,-0.845054,0.01848,'\'(-inf-0.980205]\''
0.060192,0.272917,0.089347,0.146896,-0.830538,-0.779376,0.064667,'\'(-inf-0.980205]\''
0.444933,0.635574,0.697565,-1.032071,0.655621,0.556235,0,'\'(0.980205-1.960411]\''
0.636815,0.586484,0.497651,0.759885,0.994781,0.762584,0,'\'(0.980205-1.960411]\''
0.072976,0.211072,0.089347,-0.485561,-0.966664,-0.850623,0,'\'(-inf-0.980205]\''
0.649797,0.405149,0,1.957182,1.790009,2.03322,0.138221,'\'(-inf-0.980205]\''
0.44213,0.595336,0.534053,0.35183,1.603489,1.733419,0.014577,'\'(0.980205-1.960411]\''
0.693296,0.457055,0.259722,0.862797,1.683918,1.905963,0,'\'(-inf-0.980205]\''
0.586288,0.619389,0.567241,0.369139,-0.384908,-0.450045,0.528999,'\'(0.980205-1.960411]\''
0.044384,0.388371,0.118111,-0.296563,0.235446,0.035841,0.215541,'\'(-inf-0.980205]\''
0.502591,0.594115,0.395474,-0.982332,-0.352166,-0.452617,0.108565,'\'(0.980205-1.960411]\''
0.664557,0.296197,0.193877,1.274486,-0.094098,-0.338352,0,'\'(-inf-0.980205]\''
0.516616,0.603753,0.481788,-0.622024,1.557905,1.350183,0.203286,'\'(0.980205-1.960411]\''
0.489375,0.596304,0.739449,-0.207158,1.13418,1.038499,0.020524,'\'(0.980205-1.960411]\''
0.792063,0.48772,0.161482,0.86224,1.826211,1.723242,0.10764,'\'(0.980205-1.960411]\''
0.683667,0.628081,0.376103,1.912129,1.374831,1.300145,0.267906,'\'(0.980205-1.960411]\''
0.419695,0.9044,0.78356,-1.346878,-0.966664,-0.850623,0.188837,'\'(1.960411-inf)\''
0.832546,0.504866,0.382889,0.564535,-0.68174,-0.674581,0.515819,'\'(0.980205-1.960411]\''
0.377739,0.63851,0.522278,-1.438718,0.243312,0.114183,0.028641,'\'(0.980205-1.960411]\''
0.703927,0.500151,0.404168,0.862797,0.424351,0.3469,0.242661,'\'(0.980205-1.960411]\''
0.592791,0.423637,0.259722,0.163458,0.462329,0.347158,0.304279,'\'(-inf-0.980205]\''
0.210587,0.338653,0.118111,-2.093859,-0.966664,-0.850623,0,'\'(-inf-0.980205]\''
0.929604,0.439791,0.193877,-0.006387,-0.966664,-0.850623,0.335,'\'(-inf-0.980205]\''
0.366079,0.463696,0.330624,-0.771465,0.696763,0.610952,0.172543,'\'(0.980205-1.960411]\''
0.873854,0.395592,0.118111,-0.107651,-0.961968,-0.848238,0.334544,'\'(-inf-0.980205]\''
0.681978,0.503004,0.259722,0.788145,1.01804,0.753768,0.16879,'\'(-inf-0.980205]\''
0.676985,0.510619,0.193877,1.912129,0.768123,0.483384,0.30653,'\'(-inf-0.980205]\''
0.165682,0.51937,0.320306,-2.404853,-0.930176,-0.829499,0.002185,'\'(-inf-0.980205]\''
0.68038,0.456769,0.376103,0.462852,0.822588,0.76263,0.054446,'\'(-inf-0.980205]\''
0.296761,0.460426,0.259722,-2.072484,-0.484185,-0.531338,0.123806,'\'(-inf-0.980205]\''
0.224687,0.533894,0.477101,-2.105121,-0.111178,-0.237194,0.130354,'\'(0.980205-1.960411]\''
0.918057,0.430022,0.303094,0.470312,-0.071786,-0.245028,0.671482,'\'(-inf-0.980205]\''
0.416006,0.387299,0.178694,-1.784405,-0.052277,-0.173303,0.169648,'\'(-inf-0.980205]\''
0.442304,0.470969,0.268042,-0.231715,0.132145,0.003873,0.00874,'\'(-inf-0.980205]\''
0.043576,0.440125,0.230959,-0.532693,-0.966664,-0.850623,0.072988,'\'(-inf-0.980205]\''
0.481866,0.61528,0.595529,-0.659703,1.832152,1.885316,0,'\'(0.980205-1.960411]\''
0.745315,0.55843,0.536083,0.456115,1.620667,1.8108,0.697506,'\'(0.980205-1.960411]\''
0.44469,0.675636,0.577132,-1.032071,-0.362995,-0.437087,0.226945,'\'(0.980205-1.960411]\''
0.163809,0.284489,0,-1.813636,-0.949082,-0.840457,0.054923,'\'(-inf-0.980205]\''
