@relation 'bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-2,5-6,9-19,21-30,32,34-38,40-43,45-51,53-59-weka.filters.unsupervised.attribute.RenameNominalValues-R11-N\'(-inf-0.980205]\':low, \'(0.980205-1.960411]\':medium, \'(1.960411-inf)\':high-I'

@attribute lat_dd numeric
@attribute lon_dd numeric
@attribute ntl numeric
@attribute ptl numeric
@attribute atmo_pdep_2002 numeric
@attribute n_human_waste_2007 numeric
@attribute n_livestock.waste_2007 numeric
@attribute p_livestock_waste_2007 numeric
@attribute p_human_waste_kg_2007 numeric
@attribute runoffws numeric
@attribute logchl_A {low,medium,high}

@data
0.408716,0.44213,0.595336,0.534053,0.35183,0.093361,1.52855,1.609556,-0.298185,0.504584,medium
0.285096,0.693296,0.457055,0.259722,0.862797,0.270711,0.990638,1.668519,0.658516,0.744042,low
0.415171,0.586288,0.619389,0.567241,0.369139,0.136906,-0.373713,-0.452957,-0.111465,0.731668,medium
0.938476,0.044384,0.388371,0.118111,-0.296563,0.535987,0.486772,0.173576,3.01394,0.873068,low
0.933647,0.502591,0.594115,0.395474,-0.982332,0.069259,-0.277183,-0.405295,-0.386079,0.532356,medium
0.56545,0.664557,0.296197,0.193877,1.274486,0.088218,-0.322326,-0.110187,-0.318535,0.737685,low
0.837385,0.516616,0.603753,0.481788,-0.622024,0.132495,1.145119,1.691366,-0.134434,0.612768,medium
0.622217,0.489375,0.596304,0.739449,-0.207158,0.032974,1.079034,1.127508,-0.502114,0.493963,medium
0.440002,0.792063,0.48772,0.161482,0.86224,0.295221,1.10454,1.989037,0.838412,0.716864,medium
0.668991,0.683667,0.628081,0.376103,1.912129,0.164136,1.300178,1.413377,0.016724,0.721373,medium
0.717176,0.419695,0.9044,0.78356,-1.346878,0.003834,-1.10481,-0.920603,-0.581716,0.555723,high
0.490022,0.832546,0.504866,0.382889,0.564535,0.286883,-0.654261,-0.699162,0.775152,0.795241,medium
0.974734,0.377739,0.63851,0.522278,-1.438718,0.02426,0.363904,0.141833,-0.526976,0.326254,medium
0.327909,0.703927,0.500151,0.404168,0.862797,0.494008,-0.178044,0.299599,2.591025,0.734954,medium
0.505238,0.592791,0.423637,0.259722,0.163458,0.271054,0.559194,0.362269,0.663346,0.741553,low
0.934304,0.210587,0.338653,0.118111,-2.093859,0,-1.10481,-0.920603,-0.591376,0.583882,low
0.747499,0.929604,0.439791,0.193877,-0.006387,0.420595,-1.10481,-0.920603,1.890435,0.769204,low
0.52332,0.366079,0.463696,0.330624,-0.771465,0.006268,0.741353,0.606271,-0.57548,0.349222,medium
0.780376,0.873854,0.395592,0.118111,-0.107651,0.035891,-1.094777,-0.916916,-0.493897,0.802761,low
0.748329,0.681978,0.503004,0.259722,0.788145,0.332097,1.028866,1.062244,1.112187,0.717568,low
0.665608,0.676985,0.510619,0.193877,1.912129,0.147395,0.703655,0.783585,-0.065418,0.716657,low
0.537558,0.165682,0.51937,0.320306,-2.404853,0,-1.042724,-0.893619,-0.591376,0.24972,low
0.390521,0.68038,0.456769,0.376103,0.462852,0.196012,0.712323,0.737776,0.195798,0.789332,low
0.977818,0.296761,0.460426,0.259722,-2.072484,0.000738,-0.408661,-0.535977,-0.589532,0.477518,low
0.707877,0.224687,0.533894,0.477101,-2.105121,0.020422,0.029406,-0.193256,-0.538234,0.652398,medium
0.676317,0.918057,0.430022,0.303094,0.470312,0.214856,0.135162,-0.130459,0.297548,0.796909,low
0.814567,0.416006,0.387299,0.178694,-1.784405,0.012326,0.064693,-0.144473,-0.559722,0.512251,low
0.334684,0.442304,0.470969,0.268042,-0.231715,0.014089,0.239578,0.031601,-0.554938,0.390804,low
0.536488,0.043576,0.440125,0.230959,-0.532693,0.084137,-1.10481,-0.920603,-0.283345,0.670105,low
0.762127,0.481866,0.61528,0.595529,-0.659703,0.155155,1.637124,1.938067,-0.027617,0.524079,medium
0.279613,0.745315,0.55843,0.536083,0.456115,0.225557,0.822014,1.601948,0.365238,0.697183,medium
0.955529,0.44469,0.675636,0.577132,-1.032071,0.012146,-0.271333,-0.430664,-0.560119,0.313536,medium
0.980603,0.163809,0.284489,0,-1.813636,0.002811,-1.070752,-0.907685,-0.586024,0.686798,low
0.886033,0.446496,0.688707,0.738195,-1.032071,0.010611,0.620331,0.494669,-0.564156,0.326254,medium
0.462718,0.312424,0.343572,0.193877,0.215948,0.00549,-0.428551,-0.559713,-0.577449,0.511975,low
0.411883,0.492989,0.47779,0.303094,0.797162,0.148264,1.285912,1.233369,-0.061514,0.642156,low
0.628733,0.709647,0.545068,0.504263,0.483118,0.235841,1.274104,1.521777,0.428469,0.710014,medium
0.881573,0.439711,0.685618,0.658939,-1.032071,0.006355,0.832269,0.781566,-0.575192,0.343116,low
0.554484,0.341788,0.411807,0.178694,-0.889733,0,-1.10481,-0.920603,-0.591376,0.401393,low
0.724748,0.195583,0.474676,0.525598,-2.136586,0.046033,0.277775,0.037166,-0.462523,0.698524,medium
0.790827,0.535188,0.729519,0.617111,-0.444408,0.017154,1.25117,1.71126,-0.547018,0.641795,high
0.262705,0.500424,0.584625,0.478682,0.691602,0,1.23648,1.254012,-0.591376,0.640895,medium
0.411276,0.767171,0.512873,0.401335,0.485995,0.425041,0.436726,1.440895,1.928074,0.722167,medium
0.281139,0.640455,0.456196,0.365203,1.190462,0.145403,0.299112,0.934739,-0.074836,0.781349,medium
0.385934,0.45104,0.546087,0.475499,-0.223405,0.048258,0.902105,0.802323,-0.455558,0.507146,medium
0.54502,0.854468,0.720104,0.54671,0.564535,0.143794,1.036658,3.169725,-0.07982,0.740467,medium
0.876347,0.62344,0.465031,0.141612,-0.86331,0,-1.10481,-0.920603,-0.591376,0.661818,low
0.703692,0.071513,0.4197,0.579311,1.262765,0,-0.305697,-0.456987,-0.591376,0.533539,medium
0.774305,0.620512,0.497024,0.250829,0.176345,0.161938,1.272227,1.128865,0.007648,0.706963,low
